   25/2/1869,        NA,        NA,38.1,-122.3,          mare island cal,              mare island,,,
   25/2/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  25/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  25/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  25/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  25/02/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  25/01/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  25/01/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  26/01/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  26/01/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  27/01/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  27/01/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  28/01/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/01/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  29/01/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  29/01/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  30/01/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  30/01/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  31/01/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/01/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  01/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/02/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  02/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  02/02/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  03/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  03/02/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  04/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  04/02/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  05/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  05/02/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  05/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  05/02/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  06/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  06/02/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  07/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  07/02/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  08/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  08/02/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  09/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  09/02/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  10/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/02/1869,        NA,        NA,38.1,-122.3,mare island navy yard cal,              mare island,,,
  11/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  11/02/1869,        NA,        NA,44.9,37.3,       san pablos bay cal,                    anapa,san pablo bay,38 04N,122 23W
  12/02/1869,        NA,        NA,38.1,-122.3,san pedro point bore lby w south point mare island bore ne by e 12 e,              mare island,,,
  12/02/1869,        NA,        NA,        NA,        NA,            saucelito cal,                       NA,,,
  13/02/1869,        NA,        NA,50.6,-127,bearings from anchorage yellow bluff s6ow north west point of angel held n42oe,             yellow bluff,racoon strait,37 52 07N,122 26 45W
  13/02/1869,        NA,        NA,        NA,        NA,            saucelito cal,                       NA,,,
  14/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  14/02/1869,        NA,        NA,        NA,        NA,            saucelito cal,                       NA,,,
  15/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  15/02/1869,        NA,        NA,        NA,        NA,            saucelito cal,                       NA,,,
  16/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  16/02/1869,        NA,        NA,30.5,117.1,                jamestown,                   anking,gulf of the farallones,37.7504857N,122.7516535W
   17/2/1869,        NA,        NA,56.2,-3,from merid to 4 pm at 1 south farallones light hs bore north line dis 6 miles,                    forth,gulf of the farallones,,
   17/2/1869,   35 31 N,  124 06 W,30.5,117.1,at sea making passage to mazatlan,                   anking,north pacific,,
  18/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  18/02/1869,   33 43 N,  122 42 W,30.5,117.1,at sea making passage to mazatlan,                   anking,north pacific,,
   19/2/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   19/2/1869,   32 33 N,  121 30 W,30.5,117.1,at sea making passage to mazatlan,                   anking,north pacific,,
   20/2/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   20/2/1869,   30 28 N,  120 02 W,30.5,117.1,at sea making passage to mazatlan,                   anking,north pacific,,
  21/02/1869,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  21/02/1869,   28 20 N,  119 02 W,30.5,117.1,at sea making passage to mazatlan,                   anking,north pacific,,
